Artist(s),song,text,Genre,Album,emotion,Energy,Danceability,Positiveness,Acousticness,Instrumentalness,Speechiness,Liveness,Tempo,Loudness (db),Popularity,track_id
"JT Roach,Stephen",Wasted Roses,"[Verse 1] I was there for you, devotion in my name All my secrets in your hands Showed I cared for you, it never was a game So I'll never understand  [Pre-Chorus 1] How you looked me in my eyes And said you'd never do me wrong And fed me all your lies I don't know how you got along  [Chorus] I wasted roses on you That should be in the dirt I wasted roses on you I hope you watch them burn And now there's poison in your touch Give someone else your love I wasted roses I wasted roses [Verse 2] You can save your tongue for someone who can sit While you spit your silver words 'Cause it's not enough to tempt me with a kiss While a knife twists in my nerves  [Pre-Chorus 2] And I don't care if your eyes look Like they're fighting gravity I don't think that you ever were The girl you used to be  [Chorus] I wasted roses on you That should be in the dirt I wasted roses on you I hope you watch them burn And now there's poison in your touch Give someone else your love I wasted roses I wasted roses  [Post-Chorus] (Ooh-ooh, yeah, yeah) (Ooh-ooh, yeah, yeah) (Ooh-ooh, yeah, yeah) (Ooh-ooh, yeah, yeah) [Bridge] I wasted roses on you That should be in the dirt I wasted roses on you I hope you watch them burn And now there's poison in your touch Give someone else your love I wasted roses I wasted roses  [Chorus] I wasted roses on you That should be in the dirt I wasted roses on you I hope you watch them burn And now there's poison in your touch Give someone else your love I wasted roses I wasted roses  [Outro] (Ooh-ooh, yeah, yeah) (Ooh-ooh, yeah, yeah) (Ooh-ooh, yeah, yeah) (Ooh-ooh, yeah, yeah)",hip hop,Wasted Roses,sadness,58,69,62,45,0,18,21,99,-6db,25,10
Chris Cornell,Patience,"[Verse 1] Shed a tear 'cause I'm missing you I'm still alright to smile Girl, I think about you every day now Was a time when I wasn't sure You set my mind at ease There ain't no doubt you're in my heart now  [Chorus] Said, woman, take it slow, it will work itself out fine All we need is just a little patience Said, sugar, make it slow, we will come together fine All we need is just a little patience  [Verse 2] I sit here on the stairs I'd rather be alone If I can't have you right now, I'll wait, dear Sometimes it gets so tense I can't speed up the time But you know, love, there's one more thing to consider [Chorus] Said, woman, take it slow and things will be just fine If you and I just use a little patience Said, sugar, take the time, 'cause the lights are shining bright You and I got what it takes to make it  [Bridge] I've been walking these streets at night Just trying to get it right Hard to see with so many around You know I don't like being stuck in a crowd And the streets don't change, but maybe the names You know I ain't got time for the games 'Cause I need you Yeah, I need you  [Chorus] Said, woman, take it slow, it will work itself out fine All we need is just a little patience Said, sugar, make it slow, we will come together fine All we need is just a little patience","electropop,alternative rock,pop",No One Sings Like You Anymore,sadness,65,60,36,28,0,3,11,127,-7.38db,55,11
K. Cero,You Over Them,"[Intro] Yeah Oh no no no No no Look  [Verse 1] These late nights are starting to get longer The alcohol I'm drinking is starting to get stronger And your, loves gone but my feelings are still wit' chu And I know you moved on keeping it real wit' chu I wanna know how you're doing Posted a new pic is he the one that you're screwing Baby if he is I just hope he treats you good Doing everything that you always wish I would But I just wanna know if you still love me And I'm really hoping you do I drink a little more say 'I miss you' And I know that you miss me too Well we can just run around now Even though we know it isn't right But I ain't the same guy who used to make you cry Maybe if you want we can get us a new try Maybe we can go Maybe we can roll Girl I'll pick you up whenever you feel low But you just wanna fight with me some mo' And you won't let me make it right no mo' I know I might be losing you Oh no (oh no) But baby look I'm choosing you You know (you know) (look) [Hook] Cause oh no no no You ain't gotta go go go But you could stay with me Now won't you don't deny it Say you're feelin' me But the timing ain't right  [Chorus] Because it's you over them (oh no, oh no) Because it's you over them (oh no, oh no) Because it's you over them (oh no, oh no) Because it's you over them (Uh look) Because it's you over them Found my pick it would be you not them Found my way [?] If I could choose to do it differently I'd still choose to do it again Oh ye' (oh ye') Oh ye' ye' ye' ye' ye' Oh ye' (oh ye') Oh ye' ye' ye' ye' ye'  [Verse 2] Look You think I'm crazy that I'm talking about us And what we could be Talking about love in different places That we should be I know that I didn't keep the promises that I made you You was tryna' fix me all I ever did was break you All I did was hurt you With everything I did baby girl I don't deserve you Cause you is an angel And I put you through hell But I'm lost in yo' love Got me under your spell If I could take back everything that I ever did You know I would in a second I know it took a minute But I know that chu's a blessing And I finally learned my lesson But it's too late Say you needed time Say I needa' wait You say that I can't make things right That I won't win this fight All the days I feel like god You can't be changed at night (Damn) I gotta change though I know I found my way back And I heard that chu' was over me I hope you didn't say that Cause I'm Making it right I'm fighting to fix us This is hard for me to say But you know that I still miss us But I'm trying to move on I know I did wrong But I be all up in my feelings Baby writing these songs [Hook] Oh no no no You ain't gotta go go go But you could stay with me Now won't you don't deny it Say you're feelin' me But the timing ain't right  [Chorus] Because it's you over them (oh no, oh no) Because it's you over them (oh no, oh no) Because it's you over them (oh no, oh no) Because it's you over them (uh) Because it's you over them (oh no, oh no) Found my pic it would be you not them (oh no, oh no) Found my way [?] (oh no, oh no) If I could choose to do it differently I'd still choose to do it again Oh ye' (oh ye') Oh ye' ye' ye' ye' ye' Oh ye' (oh ye') Oh ye' ye' ye' ye' ye'  [Outro] I'm like, yeah, she's fine Wonder when she'll be mine She walked past, I press rewind To see that face one more time Baby girl you",hip hop,You over Them,sadness,46,65,66,62,0,28,8,85,-10.45db,16,12
Beach Fossils,Desert Sand,For better Or for worse Too busy trying to save up for the trip So brutal the nights they are I couldn't sleep the streets were oh so cold To timid to be asleep We'll have the darkness to the roaring sea So foolish I know you are To take a walk in Arizona stars In heaven I start to dream But I can't read directions in my sleep The sunmer comes with the tide And it's so beautiful I close my eyes,"lo-fi,indie pop,indie rock",Daydream / Desert Sand,anger,96,68,69,67,95,4,15,116,-7.35db,27,13
Boys World,Relapse,"[Verse 1: Olivia, Makhyli, Both] I told myself I wouldn't stay up late But it's 5 AM and I'm calling to see if you're awake I guess it's just a misplaced sense of fate That I'll be on this trip forever It's like I don't know no better  [Pre-Chorus: Elana] I shouldn't, I shouldn't, I shouldn't give in and I know it But I'm losing my grip and I think I might slip any moment I keep making and breaking these rules every day, I ignore 'em But I'll do it again and I'll save my regret for the mornin'  [Chorus: All] I was getting this close to letting you go But then I fall back, why'd I do that? I wish my heart was stone and I had more self-control But I fall back, yeah, I relapse (Relapse) (I-I-I-I rеlapse) Yeah, I relapsе  [Verse 2: Queenie & Lillian] Oops, what have I done? I'm right back here just where I swore I'd never go In the comfort of your arms, 'cause I'm too scared to be alone See the crystals in your eyes, got me so hypnotized Yeah, they get me every time [Chorus: All] I was getting this close (This close) To letting you go (You go) But then I fall back, why'd I do that? (Do that) I wish my heart was stone and I had more self-control But I fall back (Fall back), yeah, I relapse (Relapse) (I-I-I-I relapse) Time after time (Relapse) (I-I-I-I relapse) Yeah, I relapse  [Outro: Makhyli, Lillian, Elana & All] I was getting this close to letting you go But then I fall back, why'd I do that? I wish my heart was stone and I had more self-control But I fall back, yeah, I relapse (Relapse) (Relapse) Why do I, why do I, why do I, why do I? (Relapse) Oh, relapse, I need some help 'cause I just can't stop myself I always relapse","soundtrack,classical,ambient",While You Were Out,sadness,57,57,34,4,0,4,11,104,-7db,30,14
I See Stars,Ten Thousand Feet,"[Intro: Zach Johnson] I swear this plane is going down  [Verse 1: Zach Johnson] Brace yourself, this is not a drill This is the way that I dream of going out And in this moment, I see my life flash before my eyes (Before my eyes) And at best I'll be damned to the sea Let the waves bury me  [Chorus: Devin Oliver & Zach Johnson] Ten thousand feet in the air And as we're falling faster the thoughts of you begin Ten thousand feet in the air And as we're falling faster the thought of you begins, whoa Ten thousand feet in the air And as we're falling faster the thought of you begins I wish there was a way to let you know A way to let you know I wish there was a way to let you know [Verse 2: Zach Johnson] I am the living dead I see my fate and it's just my luck I know you think the answer's upon us I got news for you: We're so fucked (I am the living dead) I am the living dead (I am the living dead) We are the living dead  [Bridge: Devin Oliver & Zach Johnson] I'm writing you a letter, I hope it falls right down in your hands At least you'll know exactly what I feel if all goes to plan I see you know the better tear in every single bell of lies No delusion or safety or senseless hope in disguise Why can't you see, that I fear for the worst This is what I gave, I'm on your side Yeah  [Chorus: Devin Oliver] Ten thousand feet in the air And as we're falling faster the thoughts of you begin Ten thousand feet in the air And as we're falling faster the thought of you begins, whoa  [Verse 3: Zach Johnson] Brace yourself, this is not a drill This is the way that I dream of going out And in this moment, I see my life flash before my eyes (Before my eyes) And at best I'll be damned to the sea Let the waves bury me [Chorus: Devin Oliver] Ten thousand feet in the air And as we're falling faster the thought of you begins I wish there was a way to let you know I wish there was a way to let you know Ten thousand feet in the air And as we're falling faster the thought of you begins",hip hop,New Demons,anger,96,31,21,0,0,9,21,140,-3db,48,15
Enrique Iglesias,Only a Woman,"[Verse 1] Only a woman could take away your cold hard chill Break your heart and make you love her still Leave you thirsty when you've had your fill Only a woman can sit you high up on a throne Make you feel so damn alone Leave you begging baby come back home  [Pre-Chorus] And it's only till she's gone Could you see that you were wrong  [Chorus] Cause the seasons change and people come and go But when love is fate best hold that woman close Take the hard road back and fall down at her door 'Cause that's your woman That's all I know  [Verse 2] Only a woman can make you fly so high you wanna touch the sun When your wings melt and you come undone Catches you when you fall, she's the only one She steals your heart just like a thief Makes you lay roses at her feet But you know to kiss the rose, the thorns will make you bleed [Pre-Chorus] And it's only till she's gone Could you see that you were wrong  [Chorus] Cause the seasons change and people come and go But when love is fate best hold that woman close Take the hard road back and fall down at her door 'Cause that's your woman That's all I know Cause the seasons change and people come and go But when love is fate best hold that woman close Take the hard road back and fall down at her door Cause that's your woman That's all I know  [Bridge] You thank God you found her Ya can't live your life without her And every little thing about her is all you need All you need  [Chorus] Cause the seasons change and people come and go But when love is fate best hold that woman close Take the hard road back and fall down at her door Cause that's your woman That's all I know [Outro] Only a women Only a women","pop,dance,electropop",SEX AND LOVE (Deluxe Edition),sadness,48,65,15,45,0,3,11,132,-5.98db,24,16
Edward Sharpe & The Magnetic Zeros,Perfect Time,"What is a cold blooded mad man to do With a smile across his teeth and a chest full of goo And it cuts through my junk and it smash up my eyes And sings like a song 'fore you die  Sunny day shootings Breakfast beheadings Lunchtime wartime Armaggedon God. tell me what to do It's a perfect time for love  Never a punk smiled so wide Never have teeth seen so much sky And smash up my junk and iy screws up my eyes And sings like a song 'fore you die  Mountaintop chokings Afternoon rapists Primetime wartime I can't take it God, tell me what to do Is it time for love? Whatever colors you wear Oh, they gonna bleed someday Some rainbow day We'll have the perfect time  Skipping, hugging, laughing, singing Dancing, romancing, spinning, singing God, tell me what to do It's a perfect time for love With you","alternative rock,indie rock",Up From Below - 10th Anniversary Edition,anger,63,53,10,24,0,3,10,112,-5.76db,73,17
Chloe Adams,She Used To Be Mine,"[Chorus] She's imperfect but she tries She is good but she lies She is hard on herself She is broken and won't ask for help She is messy but she's kind She is lonely most of the time She is all of this mixed up and baked in a beautiful pie She is gone but she used to be mine  [Verse] It's not simple to say Most days I don't recognize me These shoes and this apron, that place and its patrons Have taken morе than I gave 'em It's not easy to know I'm not anything likе I used to be Although it's true I was never attention sweet center I still remember that girl [Chorus] She's imperfect but she tries She is good but she lies She is hard on herself She is broken and won't ask for help She is messy but she's kind She is lonely most of the time She is all of this mixed up and baked in a beautiful pie She is gone but she used to be mine  [Outro] She is messy but she's kind She is lonely most of the time She is all of this mixed up and baked in a beautiful pie She is gone but she used to be mine",comedy,She Used To Be Mine,sadness,31,58,46,44,0,3,5,150,-13.63db,54,18
Mlody Korden,All Day,"Monday to Sunday, yeah we get it all day everyday Monday to Sunday, yeah we get it all day everyday Yeah we get it all day everyday, yeah we get it all day everyday All day everyday, all day everyday, eeee everyday, ddddd everyday  No no no no days off, no days off, no no days off No no no no days off, no days of at all, I do this for you (yeah yeah yeah all day everyday), I do this for you (yeah yeah yeah yeah all day everyday)  Vrs 1: I might be young but I'm ready, new on the scene but the boy gonna' get it (yeah) I put the work in, don't forget it, Cuz imma earn that spot in a minute Cuz I do it for the love, do it for the fans and do it for my mom Do it for my pops and all my day ones, so you better watch out here I come Cuz I'm just tryin' to reach ya, make you a true believer, gon' hit you wit that fever Gon' boom right through that speaker(yeah), you get no complaints from me Cuz i'm doing what I love to do, Yeah I'm doing what I love to do(ah ah) (so imma put in that work)  Monday to Sunday, yeah we get it all day everyday Monday to Sunday, yeah we get it all day everyday Yeah we get it all day everyday, yeah we get it all day everyday All day everyday,all day everyday,eeee everyday, ddddd everyday No no no no days off, no days off, no no days off No no no no days off, no days of at all, I do this for you (yeah yeah yeah all day everyday), I do this for you (yeah yeah yeah yeah all day everyday)  Vrs 2: It's my time (yeah) I'm about to show you what it is(yeah yeah yeah yeah) Up in the lab, working on my craft cuz I gotta get ready for the Year (yeah yeah yeah) And it ain't just me,gotta give a shout out to my whole team, cuz they hold me down While I'm living my dream,whithout you there would be no me  Cuz I'm just tryin' to reach ya, make you a true believer, gon' hit you wit that fever Gon' boom right through that speaker(yeah), you get no complaints from me Cuz i'm doing what I love to do, Yeah I'm doing what I love to do (ah ah) (so imma put in that work)  Monday to Sunday, yeah we get it all day everyday Monday to Sunday, yeah we get it all day everyday Yeah we get it all day everyday,yeah we get it all day everyday All day everyday,all day everyday,eeee everyday, ddddd everyday  No no no no days off, no days off, no no days off No no no no days off, no days of at all, I do this for you (yeah yeah yeah all day everyday), I do this for you (yeah yeah yeah yeah all day everyday) I do this for you(yeah) I do, I do this for you(oh oh) I do this for you(yeah) I do, I do this for you(bring the bass in) I do this for you(yeah) I do, I do this for you(oh oh) I do this for you(yeah) I do, I do this for you",hip hop,ALLDAy,joy,74,57,19,1,80,7,16,153,-8.35db,22,19
Caitlyn Scarlett,Shangri-La,"[Verse 1] Lonely pavements, shards of glass reflect the evening sky And I think of peach blossom Concrete tumors, competing greed and height And all I see are Himalayans  [Pre-Chorus] I've heard about a place with trees Where springs run clean through valleys and peaks And the air can heal you as you breathe Not like the smoke that fills these streets I read about a place somewhere far You can't get there by car Where misty vales hide mystery trails I think they call it Shangri-La  All I see are Himalayans (Boom)  [Chorus] Paradise waits Only for the lonely The escapists and the brave Freedom is a place Let's run away, I know the way To somewhere far They call it Shangri-La (Boom) Now think of peach blossom 'N all I see are Himalayans Paradise waits Freedom is a place, now I think they call it Shangri-La  [Verse 2] Where the proof machines and roofs block my view And I just think of lost horizons Drains engorged with filthy water Call my core and I make birdsongs out of sirens  [Pre-Chorus] I've heard about a place with trees Where springs run clean through valleys and peaks And the air can heal you as you breathe Not like the smoke that fills these streets Yeah, I read about a place somewhere far You can't get there by car Where misty vales hide mystery trails I think they call it Shangri-La  All I see are Himalayans (Boom) [Chorus] Paradise waits Only for the lonely The escapists and the brave Freedom is a place Let's run away, I know the way To somewhere far They call it Shangri-La (Boom)  Now think of peach blossom All I see are Himalayans Paradise waits Freedom is a place, now I think they call it Shangri-La  [Bridge] I'm trading grey for green I'm gonna throw it all away for my Utopian dream The holy grail of fairy tales calls to me And I've become my own queen I'm never going back, no way, don't wanna I'm never going back, I've found nirvana I'm never going back, no way, don't wanna I'm never going back [Pre-Chorus] All I see are Himalayans (Boom)  [Chorus] Paradise waits Only for the lonely The escapists and the brave Freedom is a place Let's run away, I know the way To somewhere far They call it Shangri-La (Boom)  Now think of peach blossom And all I see are Himalayans Paradise waits Freedom is a place, now I think they call it Shangri-La  Now think of peach blossom And all I see are Himalayans Paradise waits Freedom is a place, now I think they call it Shangri-La (Boom)",hip hop,Shangri-La,sadness,85,59,33,7,0,24,18,140,-6.35db,31,20
JESSIA,Conviction,"[Verse 1] I'm a maniac I'm dramatic I'm a psychopath Ain't it tragic? Oh, oh  [Verse 2] Do you wanna play? Push my buttons Make my getaway Before I change my mind Oh, my mind  [Pre-Chorus] 'Cause every time somebody tries to get me to get close They wake up with feelings they wanted, but little they know  [Chorus] I'm in your head, I've got your heart Don't you think twice about runnin' too far Let me practice your conviction, oh But only for a minute I'm in your head, I'm holdin' tight I'll rob you blind and then kiss you goodnight Let me practice your conviction, oh But only for a minute [Verse 3] Fill my cup of tea Slow and steady I'ma make you weak You kinda like it Oh, oh  [Pre-Chorus] 'Cause every time somebody tries to get me to get close They wake up with feelings they wanted, but little they know  [Chorus] I'm in your head, I've got your heart Don't you think twice about runnin' too far Let me practice your conviction, oh But only for a minute I'm in your head, I'm holdin' tight I'll rob you blind and then kiss you goodnight Let me practice your conviction, oh But only for a minute  [Bridge] Take these broken wings and watch me fly out of my body I just wanna be somebody that I'd like to know I know all my actions are just copin' with my fractures If I heal to somethin' different I will let you know But for now [Chorus] I'm in your head, I've got your heart Don't you think twice about runnin' too far Let me practice your conviction, oh But only for a minute I'm in your head, I'm holdin' tight I'll rob you blind and then kiss you goodnight Let me practice your conviction, oh But only for a minute  [Post-Chorus] Let me practice, let me practice Let me practice, let me practice Let me practice your conviction",hip hop,Conviction,sadness,52,64,48,9,0,5,17,137,-6.42db,35,21
Ball Park Music,Coming Down,"[Verse 1] The chefs are in the alleyway throwing down They're high on PCP when I'm around They don't recall a thing or their favourite meal 'Til they are coming down You smack me in the eyes and take my sight You cut my world in half, baby, you're my night A bag of lazy spine, I can take my life  [Chorus] When I am coming down When I am coming down When I am coming down  [Verse 2] You amputate my hands and they grow back As phantoms to replace the world I had I'm too lazy to invent a brand new myth When I am coming down The scenery of saints in stained-glass walls You get a little badge and you stand tall You're knee-deep in the shit of suburban sprawl [Chorus] When you are coming down Oh, you are coming down Oh, you are coming down  [Verse 3] So suck the monophonic noise of golden hits They write them in two seconds, it's a piece of piss I let a little laugh slip from my lips  [Chorus] When I am coming down Yeah, I am coming down Oh, I am coming down  [Bridge] You've got a soft spot for hard stuff You've got a soft spot for hard stuff You've got a soft spot for hard stuff  [Chorus] And you are coming down Yeah, you are coming down Oh, you are coming down","indie rock,indie pop,pop rock",Museum,joy,50,46,33,65,0,3,10,104,-10.43db,33,22
Bishop Nehru,Too Lost,"[Intro] Uh, yup, yup, yup, and away (Boy, you in the wrong place with the wrong one) [?] life, uh (Boy, you in the wrong place with the wrong one) 2296 (Boy, you in the wrong place with the wrong one) Look, uh, look  [Verse 1] Woke up stoney, still I need my lighter and a rollie I'm thinking of the nonsense I often let control me I look into the mirror and it's like I see the old team Trapped in the glass hoping it crack so he roams free I start to leave as I'm headed for the kitchen And then I hear a voice and it's begging for attention Like ""Listen, Bish it's clear you've been tripping I think that you're forgetting everything that you've been wishing Like what's with all the tension, it's sunny like Liston Still, through the thrills, I've been seeing something different And I'm what you're missing, the piece to the puzzle So I'm never dippin' 'til you gone like shuttles I been here since days we were playing in the puddle 'Cause I'm your inner child, you'll never see a double It can't be the hustle like Karlie, he got it They say he should slow, but he can't ever stop it"" [Chorus] I feel numb, how dead am I? Got pain inside but I never cry, no Still blessed so I question why Is it still just me, myself, and I? I'm too lost all of the time In my thoughts, I'm just tryna get by, yeah Too lost all of the time In my thoughts, I'm just tryna get by, yeah  [Verse 2] Close to midnight, left the bros in the sight Now I'm home and enclosed in my dome for the night Like Rome it's a fight, tryna hold life tight As I hear another voice tryna shine life's light Like ""Listen, Bishop, I mean Markelle You better wisen up before you slip and you fail You'll be another tale just with one to tell Yeah they wanting you to fail like you kickflipped and bailed Look, you move well when you in position But you don't wanna let pressure change your decisions You know your intentions, keep rollin', keep winning Put your chips down and you gotta keep spending Enjoy life's gambles, I know that it can start to be a handful You think that it'll all dismantle I need the old days when you were the young vandal Who didn't give a fuck if they didn't understand you"" [Chorus] I feel numb, how dead am I? Got pain inside but I never cry, no Still blessed so I question why Is it still just me, myself, and I? I'm too lost all of the time In my thoughts, I'm just tryna get by, yeah Too lost all of the time In my thoughts, I'm just tryna get by, yeah  [Outro] Yeah, and away Cold life 2296 (Boy, you in the wrong place with the wrong one) (Boy, you in the wrong place with the wrong one) (Boy, you in the wrong place with the wrong one)","pop,rap,jazz",Nehruvia: My Disregarded Thoughts,sadness,80,80,48,18,0,26,10,92,-5.72db,41,23
